#
#"Frequency / GHz"	"S1,1 [Magnitude / dB]"
#-----------------------------------------
4.9539999961853	-21.061758837836
4.9549999237061	-20.992489351948
4.9559998512268	-20.923569739418
4.9569997787476	-20.855016925414
4.9580001831055	-20.786838896146
4.9590001106262	-20.719049690132
4.9600000381470	-20.651658914027
4.9609999656677	-20.584677022622
4.9619998931885	-20.518112708380
4.9629998207092	-20.451972529419
4.9640002250671	-20.386265405200
4.9650001525879	-20.320998514427
4.9660000801086	-20.256177127352
4.9670000076294	-20.191805596596
4.9679999351501	-20.127891622942
4.9689998626709	-20.064439632306
4.9699997901917	-20.001452743331
4.9710001945496	-19.938934167497
4.9720001220703	-19.876887288340
4.9730000495911	-19.815315595941
4.9739999771118	-19.754220967584
4.9749999046326	-19.693606308022
4.9759998321533	-19.633473010482
4.9770002365112	-19.573821767010
4.9780001640320	-19.514652878292
4.9790000915527	-19.455969324266
4.9800000190735	-19.397772291336
4.9809999465942	-19.340059339565
4.9819998741150	-19.282831771319
4.9829998016357	-19.226089165293
4.9840002059937	-19.169832756562
4.9850001335144	-19.114060982164
4.9860000610352	-19.058772133433
4.9869999885559	-19.003965629606
4.9879999160767	-18.949643094969
4.9889998435974	-18.895800448788
4.9899997711182	-18.842436290398
4.9910001754761	-18.789552467666
4.9920001029968	-18.737143718023
4.9930000305176	-18.685209059171
4.9939999580383	-18.633749245263
4.9949998855591	-18.582760955228
4.9959998130798	-18.532241684649
4.9970002174377	-18.482190480900
4.9980001449585	-18.432605338163
4.9990000724792	-18.383483501733
5.0000000000000	-18.334822069568
5.0009999275208	-18.286619728786
5.0019998550415	-18.238874984997
5.0029997825623	-18.191585216155
5.0040001869202	-18.144746789423
5.0050001144409	-18.098358200525
5.0060000419617	-18.052417488925
5.0069999694824	-18.006920568554
5.0079998970032	-17.961866662269
5.0089998245239	-17.917253849528
5.0100002288818	-17.873077208455
5.0110001564026	-17.829336007951
5.0120000839233	-17.786025983240
5.0130000114441	-17.743147524617
5.0139999389648	-17.700695653862
5.0149998664856	-17.658668805824
5.0159997940063	-17.617062863603
5.0170001983643	-17.575877644450
5.0180001258850	-17.535108928071
5.0190000534058	-17.494754208806
