#Parameters = {flareDiameter=130; flareLength=70; transitionCoefficient=1.33; outletLength=30; waveguideSide=50; waveguideThickness=3}
#"Frequency / GHz"	"S1(1),1(1) [Magnitude / dB]"
#-----------------------------------------------
5.1939997673035	-20.566082698964
5.1970000267029	-20.533231364271
5.1999998092651	-20.500852516376
5.2030000686646	-20.468944079408
5.2059998512268	-20.437496873677
5.2090001106262	-20.406509976942
5.2119998931885	-20.375975967965
5.2150001525879	-20.345891692048
5.2179999351501	-20.316251901141
5.2210001945496	-20.287051651560
5.2239999771118	-20.258287213578
5.2270002365112	-20.229953861672
5.2300000190735	-20.202044490630
5.2329998016357	-20.174560355618
5.2360000610352	-20.147492425480
5.2389998435974	-20.120838189660
5.2420001029968	-20.094592884996
5.2449998855591	-20.068752070732
5.2480001449585	-20.043312575541
5.2509999275208	-20.018269283772
5.2540001869202	-19.993620529082
5.2569999694824	-19.969359755922
5.2600002288818	-19.945484317136
5.2630000114441	-19.921990624792
5.2659997940063	-19.898874631471
5.2690000534058	-19.876132460497
5.2719998359680	-19.853760822922
5.2750000953674	-19.831756417538
5.2779998779297	-19.810115436081
5.2810001373291	-19.788834095932
5.2839999198914	-19.767909496683
5.2870001792908	-19.747338205125
5.2899999618530	-19.727116940494
5.2930002212524	-19.707241848944
5.2960000038147	-19.687711535149
5.2989997863770	-19.668519509952
5.3020000457764	-19.649667347980
5.3049998283386	-19.631148199975
5.3080000877380	-19.612961981521
5.3109998703003	-19.595103734681
5.3140001296997	-19.577570494472
5.3169999122620	-19.560361078722
5.3200001716614	-19.543472231823
5.3229999542236	-19.526901306709
5.3260002136230	-19.510645960239
5.3289999961853	-19.494703712407
5.3319997787476	-19.479069827638
5.3350000381470	-19.463744598008
5.3379998207092	-19.448724699394
5.3410000801086	-19.434008797784
5.3439998626709	-19.419593821827
5.3470001220703	-19.405476705891
5.3499999046326	-19.391657851878
5.3530001640320	-19.378132087209
5.3559999465942	-19.364898960318
5.3590002059937	-19.351956985205
5.3619999885559	-19.339304983358
5.3649997711182	-19.326937269603
5.3680000305176	-19.314856671959
5.3709998130798	-19.303059981036
5.3740000724792	-19.291544303142
5.3769998550415	-19.280309031471
5.3800001144409	-19.269352745182
5.3829998970032	-19.258672961354
5.3860001564026	-19.248269604967
5.3889999389648	-19.238140338499
5.3920001983643	-19.228285745775
5.3949999809265	-19.218700801996
5.3979997634888	-19.209388570547
5.4010000228882	-19.200345893077
5.4039998054504	-19.191571269127
5.4070000648499	-19.183065361789
5.4099998474121	-19.174824971659
5.4130001068115	-19.166850769819
5.4159998893738	-19.159142972174
5.4190001487732	-19.151698660969
5.4219999313354	-19.144517323717
5.4250001907349	-19.137601251990
5.4279999732971	-19.130944634452
5.4310002326965	-19.124551874172
5.4340000152588	-19.118419989750
5.4369997978210	-19.112550088927
5.4400000572205	-19.106940129627
5.4429998397827	-19.101592236350
5.4460000991821	-19.096503606868
5.4489998817444	-19.091675234363
5.4520001411438	-19.087106909858
5.4549999237061	-19.082799397759
5.4580001831055	-19.078751928776
5.4609999656677	-19.074965161521
5.4640002250671	-19.071436586546
5.4670000076294	-19.068171754141
5.4699997901917	-19.065165651777
5.4730000495911	-19.062422514869
5.4759998321533	-19.059939315293
5.4790000915527	-19.057719589365
5.4819998741150	-19.055762435473
5.4850001335144	-19.054069012662
5.4879999160767	-19.052638071457
5.4910001754761	-19.051473566508
5.4939999580383	-19.050573584144
5.4970002174377	-19.049939458744
5.5000000000000	-19.049573603583
5.5029997825623	-19.049474506654
5.5060000419617	-19.049645634735
5.5089998245239	-19.050085886011
5.5120000839233	-19.050798090239
5.5149998664856	-19.051782747367
5.5180001258850	-19.053040908627
5.5209999084473	-19.054573495433
5.5240001678467	-19.056383297976
5.5269999504089	-19.058470468663
5.5300002098083	-19.060835362651
5.5329999923706	-19.063482949651
5.5359997749329	-19.066412061053
5.5390000343323	-19.069624800640
5.5419998168945	-19.073124155246
5.5450000762939	-19.076910615848
5.5479998588562	-19.080984953992
5.5510001182556	-19.085351748382
5.5539999008179	-19.090011365170
5.5570001602173	-19.094965296650
5.5599999427795	-19.100216041714
5.5630002021790	-19.105767033605
5.5659999847412	-19.111618942387
5.5689997673035	-19.117773433665
5.5720000267029	-19.124235288717
5.5749998092651	-19.131004446403
5.5780000686646	-19.138082744359
5.5809998512268	-19.145475436536
5.5840001106262	-19.153182216118
5.5869998931885	-19.161207493240
5.5900001525879	-19.169554208553
5.5929999351501	-19.178222877823
5.5960001945496	-19.187217596299
5.5989999771118	-19.196541119159
5.6020002365112	-19.206195435427
5.6050000190735	-19.216184821915
5.6079998016357	-19.226511105067
5.6110000610352	-19.237178205253
5.6139998435974	-19.248187777843
5.6170001029968	-19.259543915430
5.6199998855591	-19.271248717537
5.6230001449585	-19.283307609348
5.6259999275208	-19.295721531672
5.6290001869202	-19.308495897647
5.6319999694824	-19.321632222663
5.6350002288818	-19.335134346534
5.6380000114441	-19.349006406587
5.6409997940063	-19.363252756805
5.6440000534058	-19.377873434352
5.6469998359680	-19.392876420856
5.6500000953674	-19.408262618776
5.6529998779297	-19.424037230269
5.6560001373291	-19.440203861666
5.6589999198914	-19.456766189014
5.6620001792908	-19.473727524135
5.6649999618530	-19.491091883354
5.6680002212524	-19.508865864670
5.6710000038147	-19.527050203546
