#Parameters = {c0=299.792458; flare_diameter=134.84555017935; flare_length=68.649545476817; frequency_centre=5.5; frequency_maximum=6.6; frequency_minimum=4.95; metal_thickness=0; waveguide_diameter=41.6373568758; waveguide_length=54.507719636364; wavelength_centre=54.507719636364}
#"Frequency / GHz"	"S1,1 [Magnitude / dB]"
#-----------------------------------------
4.8860001564026	-18.871844652204
4.8870000839233	-18.894946991153
4.8880000114441	-18.918093291408
4.8889999389648	-18.941282750255
4.8899998664856	-18.964515711027
4.8909997940063	-18.987793074205
4.8920001983643	-19.011117212267
4.8930001258850	-19.034484698880
4.8940000534058	-19.057897388830
4.8949999809265	-19.081356381338
4.8959999084473	-19.104860993570
4.8969998359680	-19.128412589992
4.8979997634888	-19.152009934125
4.8990001678467	-19.175654727177
4.9000000953674	-19.199345834526
4.9010000228882	-19.223085472741
4.9019999504089	-19.246873040249
4.9029998779297	-19.270707678339
4.9039998054504	-19.294591600221
4.9050002098083	-19.318523510777
4.9060001373291	-19.342504990379
4.9070000648499	-19.366535789623
4.9079999923706	-19.390616249794
4.9089999198914	-19.414746735315
4.9099998474121	-19.438927424740
4.9109997749329	-19.463158981923
4.9120001792908	-19.487442122199
4.9130001068115	-19.511774893287
4.9140000343323	-19.536161108678
4.9149999618530	-19.560598380133
4.9159998893738	-19.585088453899
4.9169998168945	-19.609630322040
4.9180002212524	-19.634226351411
4.9190001487732	-19.658874778824
4.9200000762939	-19.683576818750
4.9210000038147	-19.708333730276
4.9219999313354	-19.733144446469
4.9229998588562	-19.758008296813
4.9239997863770	-19.782928948310
4.9250001907349	-19.807903948133
4.9260001182556	-19.832935893021
4.9270000457764	-19.858021769752
4.9279999732971	-19.883165694114
4.9289999008179	-19.908365442861
4.9299998283386	-19.933622737487
4.9310002326965	-19.958937787570
4.9320001602173	-19.984309569388
4.9330000877380	-20.009740366686
4.9340000152588	-20.035228319969
4.9349999427795	-20.060776186988
4.9359998703003	-20.086382450705
4.9369997978210	-20.112048027965
4.9380002021790	-20.137773118810
4.9390001296997	-20.163560840702
4.9400000572205	-20.189407621335
4.9409999847412	-20.215315591766
4.9419999122620	-20.241283872021
4.9429998397827	-20.267315299063
4.9439997673035	-20.293407908367
4.9450001716614	-20.319561336579
4.9460000991821	-20.345781124640
4.9470000267029	-20.372061222146
4.9479999542236	-20.398406637863
4.9489998817444	-20.424814794217
4.9499998092651	-20.451287491563
4.9510002136230	-20.477824630091
4.9520001411438	-20.504427433307
4.9530000686646	-20.531095057012
4.9539999961853	-20.557827897677
4.9549999237061	-20.584628542142
4.9559998512268	-20.611494702077
4.9569997787476	-20.638428145007
4.9580001831055	-20.665427792884
4.9590001106262	-20.692497114133
4.9600000381470	-20.719634111543
4.9609999656677	-20.746838939640
4.9619998931885	-20.774113545015
4.9629998207092	-20.801455528182
4.9640002250671	-20.828870239945
4.9650001525879	-20.856352534138
4.9660000801086	-20.883907462087
4.9670000076294	-20.911532917925
4.9679999351501	-20.939227833030
4.9689998626709	-20.966996260659
4.9699997901917	-20.994836667321
4.9710001945496	-21.022750337340
4.9720001220703	-21.050736127523
4.9730000495911	-21.078796176208
4.9739999771118	-21.106929866664
4.9749999046326	-21.135136334057
4.9759998321533	-21.163419278696
4.9770002365112	-21.191776028951
4.9780001640320	-21.220209744329
4.9790000915527	-21.248719930819
4.9800000190735	-21.277305448366
4.9809999465942	-21.305967665816
4.9819998741150	-21.334707576195
4.9829998016357	-21.363526457161
4.9840002059937	-21.392422643270
4.9850001335144	-21.421397642837
4.9860000610352	-21.450451496441
4.9869999885559	-21.479584110966
4.9879999160767	-21.508798696903
4.9889998435974	-21.538091636786
4.9899997711182	-21.567466120326
4.9910001754761	-21.596924092745
4.9920001029968	-21.626463206794
4.9930000305176	-21.656083726373
4.9939999580383	-21.685787912086
4.9949998855591	-21.715574525768
4.9959998130798	-21.745444769511
4.9970002174377	-21.775399582019
4.9980001449585	-21.805439351379
4.9990000724792	-21.835564370228
5.0000000000000	-21.865775416206
5.0009999275208	-21.896073583230
5.0019998550415	-21.926456035496
5.0029997825623	-21.956926827786
5.0040001869202	-21.987484873484
5.0050001144409	-22.018131908616
5.0060000419617	-22.048866783726
5.0069999694824	-22.079691422069
5.0079998970032	-22.110606240424
5.0089998245239	-22.141611442510
5.0100002288818	-22.172704759221
5.0110001564026	-22.203892350525
5.0120000839233	-22.235170116192
5.0130000114441	-22.266540746097
5.0139999389648	-22.298003658235
5.0149998664856	-22.329561473237
5.0159997940063	-22.361211417293
5.0170001983643	-22.392955239135
5.0180001258850	-22.424796396768
5.0190000534058	-22.456729734162
5.0199999809265	-22.488760997274
5.0209999084473	-22.520888641624
5.0219998359680	-22.553114025791
5.0229997634888	-22.585436909510
5.0240001678467	-22.617856574854
5.0250000953674	-22.650376790751
5.0260000228882	-22.682994982119
5.0269999504089	-22.715712687960
5.0279998779297	-22.748532900137
5.0289998054504	-22.781453098604
5.0300002098083	-22.814474191122
5.0310001373291	-22.847597703705
5.0320000648499	-22.880824344829
5.0329999923706	-22.914153143309
5.0339999198914	-22.947588453164
5.0349998474121	-22.981125513114
5.0359997749329	-23.014769118670
5.0370001792908	-23.048518150299
5.0380001068115	-23.082374011204
5.0390000343323	-23.116336468699
5.0399999618530	-23.150405306874
5.0409998893738	-23.184584933295
5.0419998168945	-23.218870680837
5.0430002212524	-23.253265879603
5.0440001487732	-23.287771497322
5.0450000762939	-23.322387641696
5.0460000038147	-23.357116808018
5.0469999313354	-23.391955960871
