#Parameters = {chamferAngle=45; chamferWidth=18; feedLength=30; outletLength=30; polarizerLength=100; waveguideSide=50; waveguideThickness=3}
#"Frequency / GHz"	"Mode amplitude ratio (probe, abs component) (chamferWidth=18) [Magnitude / dB]"
#--------------------------------------------------------------------------------------------------
4.7700000000000	1.1111966226771
4.7710000000000	1.1107891866444
4.7720000000000	1.1103823420659
4.7730000000000	1.1099760878581
4.7740000000000	1.1095704229377
4.7750000000000	1.1091653462218
4.7760000000000	1.1087608566279
4.7770000000000	1.1083569530736
4.7780000000000	1.1079536344771
4.7790000000000	1.1075508997566
4.7800000000000	1.1071487478309
4.7810000000000	1.1067471776188
4.7820000000000	1.1063461880396
4.7830000000000	1.1059457780131
4.7840000000000	1.1055459464591
4.7850000000000	1.1051466922977
4.7860000000000	1.1047480144497
4.7870000000000	1.1043499118361
4.7880000000000	1.1039523833779
4.7890000000000	1.1035554279969
4.7900000000000	1.1031590446151
4.7910000000000	1.1027632321549
4.7920000000000	1.1023679895389
4.7930000000000	1.1019733156904
4.7940000000000	1.1015792095327
4.7950000000000	1.1011856699900
4.7960000000000	1.1007926959865
4.7970000000000	1.1004002864471
4.7980000000000	1.1000084402971
4.7990000000000	1.0996171564620
4.8000000000000	1.0992264338682
4.8010000000000	1.0988362714423
4.8020000000000	1.0984466681115
4.8030000000000	1.0980576228033
4.8040000000000	1.0976691344462
4.8050000000000	1.0972812019689
4.8060000000000	1.0968938243006
4.8070000000000	1.0965070003713
4.8080000000000	1.0961207291114
4.8090000000000	1.0957350094522
4.8100000000000	1.0953498403253
4.8110000000000	1.0949652206631
4.8120000000000	1.0945811493987
4.8130000000000	1.0941976254657
4.8140000000000	1.0938146477987
4.8150000000000	1.0934322153327
4.8160000000000	1.0930503270037
4.8170000000000	1.0926689817483
4.8180000000000	1.0922881785038
4.8190000000000	1.0919079162084
4.8200000000000	1.0915281938013
4.8210000000000	1.0911490102221
4.8220000000000	1.0907703644116
4.8230000000000	1.0903922553114
4.8240000000000	1.0900146818638
4.8250000000000	1.0896376430122
4.8260000000000	1.0892611377010
4.8270000000000	1.0888851648753
4.8280000000000	1.0885097234813
4.8290000000000	1.0881348124662
4.8300000000000	1.0877604307783
4.8310000000000	1.0873865773667
4.8320000000000	1.0870132511817
4.8330000000000	1.0866404511746
4.8340000000000	1.0862681762980
4.8350000000000	1.0858964255053
4.8360000000000	1.0855251977513
4.8370000000000	1.0851544919917
4.8380000000000	1.0847843071837
4.8390000000000	1.0844146422853
4.8400000000000	1.0840454962560
4.8410000000000	1.0836768680565
4.8420000000000	1.0833087566486
4.8430000000000	1.0829411609956
4.8440000000000	1.0825740800620
4.8450000000000	1.0822075128134
4.8460000000000	1.0818414582172
4.8470000000000	1.0814759152417
4.8480000000000	1.0811108828569
4.8490000000000	1.0807463600340
4.8500000000000	1.0803823457457
4.8510000000000	1.0800188389660
4.8520000000000	1.0796558386707
4.8530000000000	1.0792933438367
4.8540000000000	1.0789313534427
4.8550000000000	1.0785698664685
4.8560000000000	1.0782088818959
4.8570000000000	1.0778483987081
4.8580000000000	1.0774884158897
4.8590000000000	1.0771289324271
4.8600000000000	1.0767699473082
4.8610000000000	1.0764114595225
4.8620000000000	1.0760534680613
4.8630000000000	1.0756959719174
4.8640000000000	1.0753389700854
4.8650000000000	1.0749824615616
4.8660000000000	1.0746264453438
4.8670000000000	1.0742709204319
4.8680000000000	1.0739158858274
4.8690000000000	1.0735613405333
4.8700000000000	1.0732072835549
4.8710000000000	1.0728537138989
4.8720000000000	1.0725006305740
4.8730000000000	1.0721480325906
4.8740000000000	1.0717959189612
4.8750000000000	1.0714442887000
4.8760000000000	1.0710931408230
4.8770000000000	1.0707424743484
4.8780000000000	1.0703922882960
4.8790000000000	1.0700425816878
4.8800000000000	1.0696933535474
4.8810000000000	1.0693446029009
4.8820000000000	1.0689963287759
4.8830000000000	1.0686485302020
4.8840000000000	1.0683012062113
4.8850000000000	1.0679543558375
4.8860000000000	1.0676079781163
4.8870000000000	1.0672620720857
4.8880000000000	1.0669166367855
4.8890000000000	1.0665716712580
4.8900000000000	1.0662271745471
4.8910000000000	1.0658831456990
4.8920000000000	1.0655395837622
4.8930000000000	1.0651964877870
4.8940000000000	1.0648538568261
4.8950000000000	1.0645116899341
4.8960000000000	1.0641699861682
4.8970000000000	1.0638287445872
4.8980000000000	1.0634879642525
4.8990000000000	1.0631476442276
4.9000000000000	1.0628077835781
4.9010000000000	1.0624683813720
4.9020000000000	1.0621294366793
4.9030000000000	1.0617909485725
4.9040000000000	1.0614529161260
4.9050000000000	1.0611153384169
4.9060000000000	1.0607782145243
4.9070000000000	1.0604415435295
4.9080000000000	1.0601053245162
4.9090000000000	1.0597695565705
4.9100000000000	1.0594342387806
4.9110000000000	1.0590993702371
4.9120000000000	1.0587649500330
4.9130000000000	1.0584309772635
4.9140000000000	1.0580974510261
4.9150000000000	1.0577643704208
4.9160000000000	1.0574317345499
4.9170000000000	1.0570995425179
4.9180000000000	1.0567677934319
4.9190000000000	1.0564364864012
4.9200000000000	1.0561056205375
4.9210000000000	1.0557751949548
4.9220000000000	1.0554452087698
4.9230000000000	1.0551156611012
4.9240000000000	1.0547865510703
4.9250000000000	1.0544578778008
4.9260000000000	1.0541296404188
4.9270000000000	1.0538018380526
4.9280000000000	1.0534744698332
4.9290000000000	1.0531475348940
4.9300000000000	1.0528210323706
4.9310000000000	1.0524949614012
4.9320000000000	1.0521693211264
4.9330000000000	1.0518441106892
4.9340000000000	1.0515193292350
4.9350000000000	1.0511949759116
4.9360000000000	1.0508710498695
4.9370000000000	1.0505475502614
4.9380000000000	1.0502244762425
4.9390000000000	1.0499018269704
4.9400000000000	1.0495796016052
4.9410000000000	1.0492577993095
4.9420000000000	1.0489364192483
4.9430000000000	1.0486154605890
4.9440000000000	1.0482949225015
4.9450000000000	1.0479748041582
4.9460000000000	1.0476551047339
4.9470000000000	1.0473358234058
4.9480000000000	1.0470169593536
4.9490000000000	1.0466985117596
4.9500000000000	1.0463804798082
4.9510000000000	1.0460628626867
4.9520000000000	1.0457456595844
4.9530000000000	1.0454288696934
4.9540000000000	1.0451124922082
4.9550000000000	1.0447965263255
4.9560000000000	1.0444809712447
4.9570000000000	1.0441658261675
4.9580000000000	1.0438510902982
4.9590000000000	1.0435367628434
4.9600000000000	1.0432228430122
4.9610000000000	1.0429093300161
4.9620000000000	1.0425962230692
4.9630000000000	1.0422835213876
4.9640000000000	1.0419712241904
4.9650000000000	1.0416593306988
4.9660000000000	1.0413478401363
4.9670000000000	1.0410367517292
