#Parameters = {chamferAngle=45; chamferWidth=20; feedLength=30; outletLength=30; polarizerLength=100; waveguideSide=50; waveguideThickness=3}
#"Frequency / GHz"	"Mode amplitude ratio (probe, abs component) (chamferWidth=20) [Magnitude]"
#---------------------------------------------------------------------------------------------
4.7840000000000	1.1677576104090
4.7850000000000	1.1677610287119
4.7860000000000	1.1677644336859
4.7870000000000	1.1677678254272
4.7880000000000	1.1677712040310
4.7890000000000	1.1677745695911
4.7900000000000	1.1677779222004
4.7910000000000	1.1677812619503
4.7920000000000	1.1677845889315
4.7930000000000	1.1677879032330
4.7940000000000	1.1677912049431
4.7950000000000	1.1677944941485
4.7960000000000	1.1677977709352
4.7970000000000	1.1678010353877
4.7980000000000	1.1678042875894
4.7990000000000	1.1678075276227
4.8000000000000	1.1678107555686
4.8010000000000	1.1678139715071
4.8020000000000	1.1678171755171
4.8030000000000	1.1678203676761
4.8040000000000	1.1678235480608
4.8050000000000	1.1678267167464
4.8060000000000	1.1678298738073
4.8070000000000	1.1678330193164
4.8080000000000	1.1678361533457
4.8090000000000	1.1678392759662
4.8100000000000	1.1678423872473
4.8110000000000	1.1678454872578
4.8120000000000	1.1678485760649
4.8130000000000	1.1678516537352
4.8140000000000	1.1678547203337
4.8150000000000	1.1678577759245
4.8160000000000	1.1678608205707
4.8170000000000	1.1678638543341
4.8180000000000	1.1678668772756
4.8190000000000	1.1678698894548
4.8200000000000	1.1678728909302
4.8210000000000	1.1678758817596
4.8220000000000	1.1678788619993
4.8230000000000	1.1678818317046
4.8240000000000	1.1678847909300
4.8250000000000	1.1678877397286
4.8260000000000	1.1678906781526
4.8270000000000	1.1678936062533
4.8280000000000	1.1678965240806
4.8290000000000	1.1678994316837
4.8300000000000	1.1679023291106
4.8310000000000	1.1679052164082
4.8320000000000	1.1679080936226
4.8330000000000	1.1679109607987
4.8340000000000	1.1679138179805
4.8350000000000	1.1679166652109
4.8360000000000	1.1679195025319
4.8370000000000	1.1679223299843
4.8380000000000	1.1679251476083
4.8390000000000	1.1679279554427
4.8400000000000	1.1679307535257
4.8410000000000	1.1679335418942
4.8420000000000	1.1679363205844
4.8430000000000	1.1679390896314
4.8440000000000	1.1679418490694
4.8450000000000	1.1679445989317
4.8460000000000	1.1679473392505
4.8470000000000	1.1679500700574
4.8480000000000	1.1679527913828
4.8490000000000	1.1679555032562
4.8500000000000	1.1679582057063
4.8510000000000	1.1679608987609
4.8520000000000	1.1679635824469
4.8530000000000	1.1679662567902
4.8540000000000	1.1679689218160
4.8550000000000	1.1679715775486
4.8560000000000	1.1679742240112
4.8570000000000	1.1679768612264
4.8580000000000	1.1679794892159
4.8590000000000	1.1679821080005
4.8600000000000	1.1679847176003
4.8610000000000	1.1679873180343
4.8620000000000	1.1679899093210
4.8630000000000	1.1679924914778
4.8640000000000	1.1679950645215
