#Parameters = {OutletLength=30; FeedLength=30; ArcAngleSpan=60; WaveguideLength=120; WaveguideRadius=25; WaveguideThicknes=3}
#"Frequency / GHz"	"Mode amplitude ratio (probe, abs component) (ArcAngleSpan=60) [Real Part]"
#---------------------------------------------------------------------------------------------
4.8100000000000	1.0600959478193
4.8110000000000	1.0600987202534
4.8120000000000	1.0601014831892
4.8130000000000	1.0601042366561
4.8140000000000	1.0601069806820
4.8150000000000	1.0601097152940
4.8160000000000	1.0601124405180
4.8170000000000	1.0601151563785
4.8180000000000	1.0601178628992
4.8190000000000	1.0601205601027
4.8200000000000	1.0601232480104
4.8210000000000	1.0601259266427
4.8220000000000	1.0601285960190
4.8230000000000	1.0601312561575
4.8240000000000	1.0601339070757
4.8250000000000	1.0601365487898
4.8260000000000	1.0601391813153
4.8270000000000	1.0601418046665
4.8280000000000	1.0601444188567
4.8290000000000	1.0601470238986
4.8300000000000	1.0601496198036
4.8310000000000	1.0601522065824
4.8320000000000	1.0601547842447
4.8330000000000	1.0601573527993
4.8340000000000	1.0601599122543
4.8350000000000	1.0601624626167
4.8360000000000	1.0601650038928
4.8370000000000	1.0601675360881
4.8380000000000	1.0601700592070
4.8390000000000	1.0601725732534
4.8400000000000	1.0601750782303
4.8410000000000	1.0601775741397
4.8420000000000	1.0601800609832
4.8430000000000	1.0601825387614
4.8440000000000	1.0601850074742
4.8450000000000	1.0601874671206
4.8460000000000	1.0601899176991
4.8470000000000	1.0601923592073
4.8480000000000	1.0601947916424
4.8490000000000	1.0601972150004
4.8500000000000	1.0601996292769
4.8510000000000	1.0602020344670
4.8520000000000	1.0602044305648
4.8530000000000	1.0602068175638
4.8540000000000	1.0602091954570
4.8550000000000	1.0602115642367
4.8560000000000	1.0602139238946
4.8570000000000	1.0602162744215
4.8580000000000	1.0602186158081
4.8590000000000	1.0602209480440
4.8600000000000	1.0602232711186
4.8610000000000	1.0602255850204
4.8620000000000	1.0602278897376
4.8630000000000	1.0602301852577
4.8640000000000	1.0602324715675
4.8650000000000	1.0602347486536
4.8660000000000	1.0602370165018
4.8670000000000	1.0602392750974
4.8680000000000	1.0602415244253
4.8690000000000	1.0602437644697
4.8700000000000	1.0602459952145
4.8710000000000	1.0602482166431
4.8720000000000	1.0602504287381
4.8730000000000	1.0602526314820
4.8740000000000	1.0602548248566
4.8750000000000	1.0602570088433
4.8760000000000	1.0602591834231
4.8770000000000	1.0602613485765
4.8780000000000	1.0602635042835
4.8790000000000	1.0602656505237
4.8800000000000	1.0602677872764
4.8810000000000	1.0602699145203
4.8820000000000	1.0602720322338
4.8830000000000	1.0602741403948
4.8840000000000	1.0602762389808
4.8850000000000	1.0602783279691
4.8860000000000	1.0602804073364
4.8870000000000	1.0602824770590
4.8880000000000	1.0602845371131
4.8890000000000	1.0602865874741
4.8900000000000	1.0602886281175
4.8910000000000	1.0602906590182
4.8920000000000	1.0602926801506
4.8930000000000	1.0602946914892
4.8940000000000	1.0602966930076
4.8950000000000	1.0602986846796
4.8960000000000	1.0603006664783
4.8970000000000	1.0603026383767
4.8980000000000	1.0603046003474
4.8990000000000	1.0603065523626
4.9000000000000	1.0603084943943
4.9010000000000	1.0603104264143
4.9020000000000	1.0603123483938
